,road_start,road_finish,line_length,street_name,Subarea
1,O'CONNELL ST.,BERESFORD PLACE,315.0,ABBEY STREET LOWER,15
2,LR. LIFFEY STREET,O'CONNELL STREET,251.0,ABBEY STREET MIDDLE,12
3,BERESFORD PLACE,MARLBOROUGH STREET,156.0,OLD ABBEY STREET,15
4,CAPEL ST,LOWER LIFFEY STREET,321.0,ABBEY STREET UPPER,12
5,ST BRIGID RD,MIDDLE THIRD,782.0,ABBEYFIELD,14
6,ST BRIGID RD,MIDDLE THIRD,442.0,ABBEYFIELD,14
8,CARDIFFBRIDGE RD,RATOATH ROAD,605.0,ABBOTSTOWN AVENUE,5
10,CAPPAGH RD,RATOATH AVE.,336.0,ABBOTSTOWN ROAD,5
11,SHERRIFF ST.,IRVINE TCE.,141.0,ABERCORN ROAD,16
13,INFIRMARY RD.,FINDLATER ST.,144.0,ABERDEEN STREET,1
17,PRICES LANE,ASTON PLACE,43.0,ADAIR LANE,9
19,ADARE RD.,BUNRATTY ROAD,214.0,ADARE AVENUE,3
20,BUNRATTY RD,ADARE ROAD,209.0,ADARE DRIVE,3
21,BUNRATTY RD.,ADARE ROAD,248.0,ADARE GREEN,3
22,ADARE RD,BUNRATTY ROAD,224.0,ADARE PARK,3
23,COOLOCK DRIVE,BARRYSCOURT ROAD,600.0,ADARE ROAD,3
26,PETERS PLACE,LEESON STREET LOWER,505.0,ADELAIDE ROAD,R03
28,DERRAVARAGH RD.,LWR. KIMMAGE ROAD,219.0,AIDEEN AVENUE,12
29,AIDEEN AVE.,DERRAVARAGH ROAD,204.0,AIDEEN DRIVE,12
30,AIDEEN AVE.,AIDEEN DRIVE,210.0,AIDEEN PLACE,12
32,AILESBURY DRIVE,ANGLESEA ROAD,260.0,AILESBURY DRIVE,14
37,SYDNEY PARADE AVE.,MERRION ROAD,229.0,AILESBURY PARK,17
38,ANGLESEA RD,SYDNEY PARADE AVE,211.0,AILESBURY ROAD,14
48,ALBERT COLLEGE AVE.,BALLYMUN ROAD,283.0,ALBERT COLLEGE DRIVE,8
51,COLLINS AVE. EXT.,ALBERT COLLEGE PARK,270.0,ALBERT COLLEGE PARK,8
54,CHARLOTTE ST.,PETERS PLACE,114.0,ALBERT PLACE WEST,15
60,WHITTON RD.,ST.ENDAS ROAD,105.0,ALEXANDRA TERRACE,12
63,EAST WALL RD.,CLONTARF ROAD,1050.0,ALFIE BYRNE ROAD,R03
64,WADE'S AVE,WATERMILL ROAD,298.0,ALL SAINTS DRIVE,16
65,ALL SAINTS RD.,ALL SAINTS DRIVE,219.0,ALL SAINTS PARK,16
66,ALL SAINTS RD,ALL SAINTS DRIVE,393.0,ALL SAINTS PARK,16
67,HOWTH RD.,WATERMILL ROAD,801.0,ALL SAINTS ROAD,16
69,MOUNT PLEASANT AVE.,MOUNT PLEASANT BUILDINGS,52.0,ALMA TERRACE,7
70,ALMEIDA TCE.,BROOKFIELD STREET,43.0,ALMEIDA AVENUE,2
71,SEVILLE PLACE,STORE STREET,621.0,AMIENS STREET,R13
72,DONNYBROOK RD.,MERRION ROAD,1192.0,ANGLESEA ROAD,14
73,LITTLE BRITTAIN ST.,LITTLE MARY STREET,114.0,ANGLESEA ROW,7
74,FLEET ST.,COLLEGE GREEN,143.0,ANGLESEA STREET,9
75,RANELAGH,BEECHWOOD ROAD,285.0,ANNA VILLA,8
76,PHILIPSBURGH AVE,FOYLE ROAD,91.0,ANNADALE AVENUE,15
78,PHILIPSBURGH AVE.,GRACE PARK TERRACE,585.0,ANNADALE DRIVE,15
79,PHILIPSBURGH AVE.,GRACE PARK TERRACE,15.0,ANNADALE DRIVE,15
80,DOWTH AVE.,QUARRY ROAD,217.0,ANNALY ROAD,12
81,DOWTH AVE.,QUARRY ROAD,291.0,ANNALY ROAD,12
83,NTH. CIRCULAR RD.,CHARLEVILLE ROAD,376.0,ANNAMOE PARADE,12
85,NEW CABRA RD.,NORTH CIRCULAR ROAD,562.0,ANNAMOE ROAD,12
86,ANNAMOE RD.,NEW CABRA ROAD,119.0,ANNAMOE TERRACE,12
87,ANNAMOE ROAD,NEW CABRA ROAD,252.0,ANNAMOE TERRACE,12
89,CUCKOO LANE,NORTH KING STREET,147.0,ANNE STREET NORTH,7
90,GRAFTON STREET,DAWSON STREET,136.0,ANNE STREET SOUTH,17
91,GOLDENBRIDGE AVENUE,BULFIN ROAD,265.0,ANNER ROAD,7
92,TAFFES PLACE,SPRING GARDEN STREET,129.0,ANNESLEY AVENUE,13
93,EAST WALL ROAD,FAIRVIEW STRAND,258.0,ANNESLEY BRIDGE ROAD,15
94,ORMOND ROAD SOUTH,DUNVILLE AVENUE,272.0,ANNESLEY PARK,8
95,POPLAR ROW,NORTH STRAND ROAD,186.0,ANNESLEY PLACE,13
96,LEESON STREET UPPER,LEESON PARK,351.0,APPIAN WAY,R12
98,MONTPELIER HILL,STONEYBATTER,663.0,ARBOUR HILL,1
99,STONEYBATTER,ARBOUR HILL,153.0,ARBOUR PLACE,1
104,SKREEN ROAD,SKREEN ROAD,307.0,ARDPATRICK ROAD,10
105,MOUNT TEMPLE ROAD,ARBOUR HILL,187.0,ARD RI ROAD,1
112,ARDLEA ROAD,ARDBEG PARK,145.0,ARDBEG ROAD,9
113,ARDLEA ROAD,MARYFIELD CRESCENT,510.0,ARDCOLLUM AVENUE,9
114,WILLIAMS PARK,MILITARY ROAD,160.0,ARDEE ROAD,3
115,THE COOMBE,MILL STREET,140.0,ARDEE STREET,R04
116,THE COOMBE,MILL STREET,102.0,ARDEE STREET,R04
119,ROUNDABOUT ON MALAHIDE ROAD,KILMORE ROAD,1020.0,ARDLEA ROAD,9
126,HERBERT PARK,BRENDAN ROAD,156.0,ARGYLE ROAD,13
127,ASHFORD STREET,COWPER STREET,129.0,ARKLOW STREET,1
128,CAPTAINS ROAD,CLONARD ROAD,78.0,ARMAGH ROAD,10
129,CAPTAINS ROAD,CLONARD ROAD,273.0,ARMAGH ROAD,10
130,HAROLDS X COTTAGES,HAROLDS X ROAD,70.0,ARMSTRONG STREET,3
131,TRANQUILITY GROVE,OSCAR TRAYNOR ROAD,152.0,ARMSTRONG WALK,9
132,HEYSTEBURY STREET,CURZON STREET,225.0,ARNOTT STREET,11
133,QUEEN STREET,CHURCH STREET BRIDGE,330.0,ARRAN QUAY,R01
135,MARYS LANE,ORMOND QUAY,267.0,ARRAN STREET EAST,7
